time,x,y,z
1980.0,5625109.233976136,2784020.66568637,-3199511.4025838645
2000.0,5588406.922145941,2919812.721595142,-3149843.7815464432
2020.0,5549160.5310380375,3054276.4380967715,-3098742.067267841
2040.0,5507390.148562652,3187350.111690511,-3046230.567240232
2060.0,5463119.010698886,3318977.58095327,-2992336.0221362384
2080.0,5416370.992834753,3449099.014591962,-2937085.765369707
2100.0,5367170.630086373,3577659.005469996,-2880504.3807113115
2120.0,5315542.133977445,3704601.0888546146,-2822620.6046130704
2140.0,5261512.429477455,3829870.576026038,-2763461.069029908
2160.0,5205109.6889748825,3953410.5281050825,-2703056.171245529
2180.0,5146361.924953236,4075171.7832339937,-2641432.6046728524
2200.0,5085298.038251584,4195097.110115006,-2578620.5777825136
2220.0,5021948.447057296,4313136.8252305705,-2514649.603839679
2240.0,4956344.176004723,4429240.867781396,-2449549.125350087
2260.0,4888516.412194433,4543357.990993697,-2383351.0113695785
2280.0,4818499.277579091,4655440.249371551,-2316083.9131529895
2300.0,4746325.733468751,4765438.907771781,-2247780.745117797
2320.0,4672030.096970382,4873307.788145572,-2178472.5394362463
2340.0,4595647.704260251,4978999.333701641,-2108192.651573019
2360.0,4517215.639758673,5082468.837087433,-2036970.6277549027
2380.0,4436768.989646688,5183673.022594442,-1964840.6792465928
2400.0,4354346.157446323,5282568.378176814,-1891836.2781413042
2420.0,4269986.672706729,5379113.815901447,-1817989.9656921695
2440.0,4183727.6532648234,5473267.200013666,-1743334.6492052483
2460.0,4095609.7362650144,5564988.854178434,-1667905.5786555388
2480.0,4005673.773941249,5654240.342346646,-1591735.120494763
2500.0,3913961.7173798247,5740982.423361198,-1514859.8199845597
2520.0,3820513.4388182093,5825180.899181903,-1437312.3873264967
2540.0,3725374.14767732,5906797.42917152,-1359128.1335592233
2560.0,3628583.2651420617,5985799.93027329,-1280342.558812454
2580.0,3530188.653934793,6062153.731326106,-1200989.7575900995
2600.0,3430231.419794828,6135825.305863784,-1121105.9874893061
2620.0,3328759.2895149696,6206785.73152483,-1040726.6953653095
2640.0,3225815.8425416322,6275003.060831479,-959887.6622556788
2660.0,3121448.3225988364,6340450.381579086,-878624.534815322
2680.0,3015701.801737915,6403098.521766586,-796974.4246190918
2700.0,2908625.5650899326,6462921.969526428,-714971.2556795765
2720.0,2800265.583611094,6519893.102065851,-632654.0063813075
2740.0,2690671.0803719163,6573990.170373451,-550056.901634683
2760.0,2579890.5446220557,6625188.016260995,-467216.9937765882
2780.0,2467973.0557584376,6673466.492468229,-384172.2974018801
2800.0,2354967.1048610574,6718803.532765152,-300957.22243651643
2820.0,2240925.0972464755,6761180.202593902,-217610.26806326228
2840.0,2125893.4115761,6800578.6587134,-134167.5749238494
2860.0,2009926.851129566,6836981.403664507,-50664.88568532851
2880.0,1893075.0313191207,6870371.908334066,32859.160738007886
2900.0,1775388.3401408133,6900736.250039367,116369.7963690579
2920.0,1656920.5113935445,6928059.223878316,199828.2999320927
2940.0,1537721.686850884,6952331.703724277,283198.8617399738
2960.0,1417846.4951329913,6973540.793280553,366444.86215168564
2980.0,1297345.2594102875,6991675.854017452,449528.82222214225
3000.0,1176272.9260173992,7006729.0325380135,532415.6824640029
3020.0,1054682.5980288172,7018694.556692092,615067.1929676469
3040.0,932626.4318443874,7027565.5211485615,697447.4820531711
3060.0,810158.8809340899,7033335.541203569,779520.2067618981
3080.0,687334.0227487757,7036001.894490961,861249.3876188473
3100.0,564205.2604501023,7035563.500141741,942598.536359749
3120.0,440828.1242287234,7032019.16933703,1023529.8811288931
3140.0,317256.69002891507,7025367.570903161,1104011.0794767968
3160.0,193543.40458198445,7015611.151072334,1184003.4283291458
3180.0,69746.17198440415,7002751.545929382,1263471.7768313226
3200.0,-54083.08398242034,6986795.783932656,1342381.3616637953
3220.0,-177887.52813406617,6967744.940965886,1420696.8234745355
3240.0,-301613.06154028355,6945608.314497768,1498383.0933244855
3260.0,-425206.23402800306,6920392.750238535,1575405.28513893
3280.0,-548609.1937364383,6892108.822951705,1651728.6421084187
3300.0,-671769.4429507278,6860764.234277898,1727318.2464431517
3320.0,-794631.3109470425,6826373.516206607,1802141.580038965
3340.0,-917140.1392518538,6788947.369192054,1876162.4305715435
3360.0,-1039240.7380214222,6748500.776137393,1949349.5235189197
3380.0,-1160877.71161395,6705047.95471859,2021669.2269346833
3400.0,-1281998.7644910691,6658608.429142848,2093086.8800067413
3420.0,-1402546.5613688226,6609197.568198545,2163571.3685430186
3440.0,-1522468.8808582844,6556836.729669837,2233088.764522611
3460.0,-1641710.0647105365,6501544.205460902,2301609.2045122623
3480.0,-1760217.3976811667,6443343.079794006,2369098.717767685
3500.0,-1877935.764422236,6382255.666921597,2435527.79101376
3520.0,-1994813.181359529,6318305.9646909395,2500865.1407394866
3540.0,-2110793.3502691193,6251521.757722713,2565079.077098195
3560.0,-2225826.066939489,6181927.080344386,2628140.6479350324
3580.0,-2339857.8677530964,6109550.823654833,2690020.3904751088
3600.0,-2452834.7245193245,6034424.083381267,2750687.0941604855
3620.0,-2564705.791762217,5956574.993711883,2810114.4287380134
3640.0,-2675418.9426977583,5876035.493966862,2868273.0927917906
3660.0,-2784922.495695905,5792841.329001885,2925133.8245007386
3680.0,-2893164.8367769117,5707023.603385294,2980671.269305676
3700.0,-3000095.2109826533,5618618.347403326,3034856.742264825
3720.0,-3105663.7469298146,5527662.263433825,3087664.7937483694
3740.0,-3209821.650845391,5434194.425420543,3139069.3803164046
3760.0,-3312517.804093012,5338252.273273596,3189044.8225525273
3780.0,-3413702.7167687337,5239875.501758737,3237567.1204819577
3800.0,-3513330.801267842,5139108.172245041,3284610.315657985
3820.0,-3611351.6289773444,5035990.476277639,3330152.5423519975
3840.0,-3707719.3086321326,4930566.708454781,3374169.5654699123
3860.0,-3802386.4587864922,4822882.760087248,3416638.4933686955
3880.0,-3895307.3377282345,4712982.914924783,3457538.9292012122
3900.0,-3986435.7433302444,4600915.3663596185,3496848.8184614736
3920.0,-4075727.3123194594,4486727.657766473,3534547.5826018103
3940.0,-4163139.072334666,4370468.962479382,3570614.2939745486
3960.0,-4248625.1746134125,4252190.734791742,3605031.7217526757
3980.0,-4332144.693764157,4131943.8615665045,3637779.4294442004
4000.0,-4413654.522678669,4009779.9231445906,3668840.3626607
4020.0,-4493115.0200753575,3885753.633216729,3698196.176852753
4040.0,-4570483.624088319,3759918.7273961836,3725831.717477643
4060.0,-4645721.800088775,3632332.0582162635,3751729.703694234
4080.0,-4718791.506649083,3503048.9086740394,3775876.9087813227
4100.0,-4789653.382159555,3372127.496408034,3798257.9264203603
4120.0,-4858271.603994485,3239626.1022347664,3818858.6731326412
4140.0,-4924608.712772493,3105603.213309408,3837667.1089896094
4160.0,-4988630.21309769,2970120.5803434183,3854670.5315342387
4180.0,-5050301.743948649,2833239.2951715086,3869859.132651356
4200.0,-5109590.584119587,2695020.1728844414,3883219.78471567
4220.0,-5166462.710429161,2555527.3047844362,3894745.6635625637
4240.0,-5220889.5825186595,2414823.93628372,3904426.9942944665
4260.0,-5272838.358934406,2272975.314346013,3912256.764423119
4280.0,-5322280.125165871,2130046.51731818,3918224.942341774
4300.0,-5369188.257041665,1986102.866069264,3922328.6042128294
4320.0,-5413534.889261448,1841211.718238894,3924560.4647875056
4340.0,-5455293.320844719,1695440.2444695286,3924917.1409831136
4360.0,-5494441.020474366,1548857.611292571,3923394.1918824296
4380.0,-5530951.529269364,1401531.998756642,3919988.784946472
4400.0,-5564804.168703966,1253531.790301638,3914699.253281515
4420.0,-5595978.338643947,1104930.1646975263,3907526.2021964057
4440.0,-5624452.189089673,955794.0411840864,3898467.6102806553
4460.0,-5650208.277029464,806195.7235072572,3887524.6211501933
4480.0,-5673229.451012208,656207.975056372,3874700.590487947
4500.0,-5693498.985175275,505901.8735614023,3859995.4779313984
4520.0,-5711000.802593242,355349.1116801217,3843415.925791228
